shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct
SHP-700407,CTR-2025407,SO-500407,Sea,SG7,In Progress,Open,N,Y,Y,N,Y,Y,N,N,Y,80.7
SHP-700408,CTR-2025408,SO-500408,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,86.2
SHP-700409,CTR-2025409,SO-500409,Land,SG7,In Progress,Delivered,Y,N,Y,N,N/A,Y,Y,N,Y,87.2
SHP-700410,CTR-2025410,SO-500410,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,Y,Y,92.6
SHP-700411,CTR-2025411,SO-500411,Sea,SG8,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,81.0
SHP-700412,CTR-2025412,SO-500412,Sea,SG9,In Progress,Cancelled,Y,N,Y,N,Y,Y,Y,N,Y,83.8
SHP-700413,CTR-2025413,SO-500413,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,91.9
SHP-700414,CTR-2025414,SO-500414,Sea,SG5,In Progress,Delivered,N,Y,Y,N,Y,N,Y,N,Y,85.1
SHP-700415,CTR-2025415,SO-500415,Sea,SG7,In Progress,Cancelled,N,Y,Y,Y,Y,Y,Y,N,Y,74.0
SHP-700416,CTR-2025416,SO-500416,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,N,Y,N,Y,Y,87.6
SHP-700417,CTR-2025417,SO-500417,Sea,SG4,In Progress,Cancelled,N,N,Y,N,N,N,Y,N,Y,94.8
SHP-700418,CTR-2025418,SO-500418,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,80.5
SHP-700419,CTR-2025419,SO-500419,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,Y,Y,88.2
